children's sudafed pe,children's cough/cold combinations,temporarily relieves nasal congestion due common cold
children's sudafed pe,children's cough/cold combinations,hay fever upper respiratory allergies
children's sudafed pe,children's cough/cold combinations,temporarily relieves sinus congestion pressure
children's sudafed pe,children's cough/cold combinations,promotes nasal andor sinus drainage
children's sudafed pe,children's cough/cold combinations,temporarily relieves nasal congestion due common cold
children's sudafed pe,children's cough/cold combinations,hay fever upper respiratory allergies
children's sudafed pe,children's cough/cold combinations,temporarily relieves sinus congestion pressure
children's sudafed pe,children's cough/cold combinations,promotes nasal andor sinus drainage
orajel,children's toothpastes,anticavity toothpaste
chloraseptic kids sore throat spray,children's sore throat products,oral anestheticanalgesic
pediacare children's allergy,children's allergy,temporarily relieves symptoms due hay fever upper respiratory allergies
pediacare children's allergy,children's allergy,runny
pediacare children's allergy,children's allergy,
pediacare children's allergy,children's allergy,itchy
pediacare children's allergy,children's allergy,watery eyes
pediacare children's allergy,children's allergy,temporarily relieves cough due inhaled irritants
dramamine for kids,children's motion sickness products,nausea
dramamine for kids,children's motion sickness products,vomiting
dramamine for kids,children's motion sickness products,dizziness
act kids anticavity,children's mouthwashes,anticavity
triple paste,diaper rash products,skin protectant
aquaphor baby,diaper rash products,skin protectant ointment
a+d diaper rash ointment,diaper rash products,helps treat prevent diaper rash
a+d diaper rash ointment,diaper rash products,temporarily protects minor
a+d diaper rash ointment,diaper rash products,cuts
a+d diaper rash ointment,diaper rash products,scrapes
a+d diaper rash ointment,diaper rash products,burns
a+d diaper rash ointment,diaper rash products,cuts
a+d diaper rash ointment,diaper rash products,scrapes
a+d diaper rash ointment,diaper rash products,burns
a+d diaper rash ointment,diaper rash products,temporarily protects helps relieve chapped
a+d diaper rash ointment,diaper rash products,chafed cracked skin lips
a+d diaper rash ointment,diaper rash products,protects chafed skin due diaper rash helps seal wetness
destin diaper rash,diaper rash products,skin protectant
boudreaux's butt paste,diaper rash products,helps treat prevent diaper
boudreaux's butt paste,diaper rash products,protects chafed skin due diaper rash helps seal wetness
cystex,urinary pain relief,painful urination
cystex,urinary pain relief,burning urination
oxytrol for women,overactive bladder treatment,treats overactive bladder women
oxytrol for women,overactive bladder treatment,may suffering overactive bladder following symptoms least months
oxytrol for women,overactive bladder treatment,urinary frequency need urinate often usual typically times hours
oxytrol for women,overactive bladder treatment,urinary urgency strong need urinate right away
oxytrol for women,overactive bladder treatment,urinary incontinence leaking wetting control urge urinate
oxytrol for women,overactive bladder treatment,urinary frequency need urinate often usual typically times hours
oxytrol for women,overactive bladder treatment,urinary urgency strong need urinate right away
oxytrol for women,overactive bladder treatment,urinary incontinence leaking wetting control urge urinate
oxytrol for women,overactive bladder treatment,nondrug therapies may also help see consumer information leaflet inside package
monistat complete care,vaginal care and hygiene,temporarily relieves external genital itching
monistat complete care,vaginal care and hygiene,uses product advice supervision doctor
complete multi-purpose solution easy rub formula,contact lens solutions,chemically heat disinfect
complete multi-purpose solution easy rub formula,contact lens solutions,clean
complete multi-purpose solution easy rub formula,contact lens solutions,rinse
complete multi-purpose solution easy rub formula,contact lens solutions,store
complete multi-purpose solution easy rub formula,contact lens solutions,remove protein
advanced eye relief,artificial tears/ophthalmic lubricants,temporary relief burning irritation due dryness eye
advanced eye relief,artificial tears/ophthalmic lubricants,prevents irritation
hypo tears,artificial tears/ophthalmic lubricants,use lubricant relieve dryness
hypo tears,artificial tears/ophthalmic lubricants,temporarily relieves burning irritation due dryness eye exposure wind sun
hypo tears,artificial tears/ophthalmic lubricants,helps protect eye irritation
naphcon-a,ophthalmic antihistamines/decongestants,
naphcon-a,ophthalmic antihistamines/decongestants,pollen
naphcon-a,ophthalmic antihistamines/decongestants,grass
naphcon-a,ophthalmic antihistamines/decongestants,animal dander hair
zaditor,ophthalmic antihistamines/decongestants,relieves itchy eyes
auro earwax removal aid,ear wax removal,earwax removal aid
similasan ear wax relief,ear wax removal,clogged sensation caused ear wax
similasan ear wax relief,ear wax removal,ringing ear caused ear wax
similasan ear wax relief,ear wax removal,dry skin itching ear canal
ricola,sore throat lozenges,cough due cold inhaled irritants
ricola,sore throat lozenges,occasional minor irritation pain due sore throat sore mouth
solarcaine,sun burn relief,external analgesic
polysporin,topical antibiotics/antiseptics,cuts
polysporin,topical antibiotics/antiseptics,scrapes
polysporin,topical antibiotics/antiseptics,burns
hibiclens,topical antibiotics/antiseptics,antiseptic
polysporin,burn treatments,cuts
polysporin,burn treatments,scrapes
polysporin,burn treatments,burns
nicoderm cq patch,smoking cessation aids,reduces withdrawal symptoms
nicoderm cq patch,smoking cessation aids,including nicotine craving
nicoderm cq patch,smoking cessation aids,associated quitting smoking
tagamet hb,h2 receptor antagonists,associated acid indigestion sour stomach
tagamet hb,h2 receptor antagonists,associated acid indigestion sour stomach brought eating drinking certain food beverages
zantac,h2 receptor antagonists,relieves heartburn associated acid indigestion sour stomach
zantac,h2 receptor antagonists,prevents heartburn associated acid indigestion sour stomach brought certain foods beverages
beano,antiflatulence products,use right problem experience symptoms stomach gas caused many healthful foods
beano,antiflatulence products,use right food caused variety foods including
beano,antiflatulence products,veggies like broccoli
beano,antiflatulence products,lettuce
beano,antiflatulence products,carrots
beano,antiflatulence products,proteins like beans peanuts
beano,antiflatulence products,whole grains like whole wheat oat bran
beano,antiflatulence products,glutenfree
beano,antiflatulence products,veggies like broccoli
beano,antiflatulence products,lettuce
beano,antiflatulence products,carrots
beano,antiflatulence products,proteins like beans peanuts
beano,antiflatulence products,whole grains like whole wheat oat bran
mylanta,antiflatulence products,relieves bloating
mylanta,antiflatulence products,pressure
mylanta,antiflatulence products,discomfort gas caused certain foods beans
mylanta,antiflatulence products,bran
mylanta,antiflatulence products,broccoli air swallowing
colace 2-in-1 (formerly peri-colace),"laxatives, stimulant",relieves occasional constipation irregularity
colace 2-in-1 (formerly peri-colace),"laxatives, stimulant",generally produces bowel movement hours
miralax,"laxatives, nonfiber",relieves occasional constipation irregularity
miralax,"laxatives, nonfiber",generally produces bowel movement days
mylanta,antacids,relieves bloating
mylanta,antacids,pressure
mylanta,antacids,discomfort gas caused certain foods beans
mylanta,antacids,bran
mylanta,antacids,broccoli air swallowing
zegerid otc,proton pump inhibitors,treats frequent heartburn occurs days week
zegerid otc,proton pump inhibitors,intended immediate relief heartburn
zegerid otc,proton pump inhibitors,drug may take days full effect
nexium 24hr,proton pump inhibitors,treats frequent heartburn occurs days week
nexium 24hr,proton pump inhibitors,intended immediate relief heartburn drug may take days full effect
prevacid 24hr,proton pump inhibitors,treats frequent heartburn occurs days week
prevacid 24hr,proton pump inhibitors,intended immediate relief heartburn drug may take days full effect
prilosec otc,proton pump inhibitors,treats frequent heartburn occurs days week
prilosec otc,proton pump inhibitors,intended immediate relief heartburn drug may take days full effect
dulcoease,stool softeners,temporary relief occasional constipation irregularity
dulcoease,stool softeners,product generally produces bowel movement hours
phillips' stool softener,stool softeners,relief occasional constipation irregularity
phillips' stool softener,stool softeners,product generally produces bowel movement hours
zegerid otc,acid reducers,treats frequent heartburn occurs days week
zegerid otc,acid reducers,intended immediate relief heartburn
zegerid otc,acid reducers,drug may take days full effect
zantac,acid reducers,relieves heartburn associated acid indigestion sour stomach
zantac,acid reducers,prevents heartburn associated acid indigestion sour stomach brought certain foods beverages
nexium 24hr,acid reducers,treats frequent heartburn occurs days week
nexium 24hr,acid reducers,intended immediate relief heartburn drug may take days full effect
prevacid 24hr,acid reducers,treats frequent heartburn occurs days week
prevacid 24hr,acid reducers,intended immediate relief heartburn drug may take days full effect
prilosec otc,acid reducers,treats frequent heartburn occurs days week
prilosec otc,acid reducers,intended immediate relief heartburn drug may take days full effect
tylenol arthritis pain,oral arthritis pain relievers,pain relieverfever reducer
scot-tussin,diabetic cough products,temporarily quiets calms dry cough due minor throat bronchial irritation
robitussin,diabetic cough products,temporarily relieves cough due minor throat bronchial irritation may occur cold
robitussin,diabetic cough products,helps loosen phlegm mucus thin bronchial secretions drain bronchial tubes
flexitol diabetic foot balm,diabetic foot cream,antifungal
kank-a,canker sore treatments,oral anestheticanalgesic
gly-oxide oral rinse,canker sore treatments,canker sore
gly-oxide oral rinse,canker sore treatments,minor wounds gum inflammation resulting minor dental procedures
gly-oxide oral rinse,canker sore treatments,dentures
gly-oxide oral rinse,canker sore treatments,orthodontic appliances
gly-oxide oral rinse,canker sore treatments,accidental injury
gly-oxide oral rinse,canker sore treatments,irritations mouth gums
gly-oxide oral rinse,canker sore treatments,aids removal phlegm
gly-oxide oral rinse,canker sore treatments,mucus
gly-oxide oral rinse,canker sore treatments,secretions associated occasional sore mouth
herpecin l,cold sore treatments,helps prevent sunburn lips
herpecin l,cold sore treatments,relieves dry chapped lips
herpecin l,cold sore treatments,helps treat relieve cold soresfever blisters
anbesol cold sore therapy,cold sore treatments,temporarily relieves pain associated fever blisters cold sores
anbesol cold sore therapy,cold sore treatments,relieves dryness softens fever blisters cold sores
zilactin,cold sore treatments,cold soresfever
zilactin,cold sore treatments,canker sores
zilactin,cold sore treatments,mouth
zilactin,cold sore treatments,gum irritations
abreva,cold sore treatments,cold sorefever blister treatment
sensodyne,"toothpaste, general use",builds increasing protection painful sensitivity teeth cold
sensodyne,"toothpaste, general use",heat
sensodyne,"toothpaste, general use",acids
sensodyne,"toothpaste, general use",sweets
sensodyne,"toothpaste, general use",contact
sensodyne,"toothpaste, general use",aids prevention dental cavities
biotene,dry mouth therapy,anticavity
cepacol,cosmetic mouthwashes/oral rinses,antigingivitisantiplaquet
